,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,AvgGenError,ModelType,ID,Efficiency
84,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,Adam,0.6470744,0.5377197,33,28.83994550704956,kaiming_normal,0.108935543,mlpWide_3layers,9000,0.0009958664048662135
85,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,Adam,0.6630656,0.529541,11,29.52111550807953,kaiming_uniform,0.1318534346,mlpWide_3layers,9000,0.0027787047050372815
86,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,Adam,0.5987549,0.5321045,42,21.26591588020325,orthogonal_,0.058800860999999996,mlpWide_3layers,9000,0.0007792064295725578
87,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,SGDM,0.7154744,0.5563965,31,28.631426067352294,kaiming_normal,0.15726603320000002,mlpWide_3layers,9000,0.0010948596797152692
88,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,SGDM,0.7388509,0.5437012,7,28.555437984466554,kaiming_uniform,0.19503539439999998,mlpWide_3layers,9000,0.004279513057273419
89,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,SGDM,0.6260173,0.55529785,39,21.39542932987213,orthogonal_,0.07026448540000002,mlpWide_3layers,9000,0.0008741582324081155
90,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,SGD,0.6797078,0.54907227,37,28.71913743019104,kaiming_normal,0.12563638700000002,mlpWide_3layers,9000,0.0009098503480846722
91,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,SGD,0.70125324,0.5437012,34,29.633388199806213,kaiming_uniform,0.152504072,mlpWide_3layers,9000,0.0009781744130910673
92,CIFAR,backprop,mlpWide,3layers,2048,0.005,98,7897610,SGD,0.62579346,0.5533447,49,21.26301297187805,orthogonal_,0.07223754739999998,mlpWide_3layers,9000,0.0006968668434273953
93,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,Adam,0.72676593,0.5550537,8,29.077574887275695,kaiming_normal,0.16928629399999998,mlpWide_4layers,9000,0.003883439501350167
94,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,Adam,0.72939044,0.54870605,11,21.639592547416687,kaiming_uniform,0.17862549200000002,mlpWide_4layers,9000,0.0028792710721500725
95,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,Adam,0.68796796,0.56066895,2,33.94277466773987,orthogonal_,0.1230855344,mlpWide_4layers,9000,0.011768179984804292
96,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,SGDM,0.6972249,0.54992676,33,28.89915261268616,kaiming_normal,0.14481119660000003,mlpWide_4layers,9000,0.0010184740961153645
97,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,SGDM,0.70359296,0.5427246,46,21.684367871284486,kaiming_uniform,0.1602193162,mlpWide_4layers,9000,0.0007271193472658484
98,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,SGDM,0.660258,0.55859375,42,33.336214900016785,orthogonal_,0.10159829760000001,mlpWide_4layers,9000,0.0008179969188741046
99,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,SGD,0.7304077,0.55200195,8,28.861539630889894,kaiming_normal,0.17718138919999998,mlpWide_4layers,9000,0.0038620878978958603
100,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,SGD,0.7333171,0.54016113,5,21.819009213447572,kaiming_uniform,0.192453206,mlpWide_4layers,9000,0.00566886519989672
101,CIFAR,backprop,mlpWide,4layers,2048,0.0005,98,7897610,SGD,0.6921794,0.56140137,39,33.8080807352066,orthogonal_,0.1307983414,mlpWide_4layers,9000,0.0008837664854468543
102,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,Adam,0.6580607,0.5324707,22,28.67386920452118,kaiming_normal,0.1215987072,mlpWide_4layers,9000,0.0014577798075506355
