,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,ModelType,ID,Efficiency
153,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGDM,0.9953962,0.9645996,32,7.6014124250411985,kaiming_normal,mlp_2layers,750,0.0028891718552481417
154,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGDM,0.99523926,0.96313477,34,7.466041741371154,kaiming_uniform,mlp_2layers,750,0.002719939569292539
155,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGD,0.99834335,0.9610596,43,7.509413805007934,kaiming_normal,mlp_2layers,750,0.0021589266268118167
156,MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGD,0.9986572,0.9625244,36,7.492245182991028,kaiming_uniform,mlp_2layers,750,0.002571285267903203
170,MNIST,backprop,mlp,3layers,4096,0.0005,98,52842,Adam,0.99998254,0.97387695,0,7.506084418296814,kaiming_normal,mlp_3layers,750,0.08966910520108132
171,MNIST,backprop,mlp,3layers,4096,0.0005,98,52842,Adam,0.99998254,0.97265625,24,7.554292178153991,kaiming_uniform,mlp_3layers,750,0.0035822684007764745
172,MNIST,backprop,mlp,3layers,4096,0.0005,98,52842,SGDM,1.0,0.973999,38,7.5402254343032835,kaiming_normal,mlp_3layers,750,0.0022994959712246384
173,MNIST,backprop,mlp,3layers,4096,0.0005,98,52842,SGDM,0.9996861,0.96972656,35,7.549716629981995,kaiming_uniform,mlp_3layers,750,0.0024801933517405957
174,MNIST,backprop,mlp,3layers,4096,0.0005,98,52842,SGD,0.99998254,0.9733887,31,7.649737296104431,kaiming_normal,mlp_3layers,750,0.0028007546840826437
175,MNIST,backprop,mlp,3layers,4096,0.0005,98,52842,SGD,0.99994767,0.9727783,31,7.515697407722473,kaiming_uniform,mlp_3layers,750,0.002798998365502857
182,MNIST,backprop,mlp,3layers,4096,0.005,98,52842,Adam,0.99998254,0.973999,28,7.494292054176331,kaiming_normal,mlp_3layers,750,0.0030924256164745136
183,MNIST,backprop,mlp,3layers,4096,0.005,98,52842,Adam,0.99994767,0.9736328,22,7.508165640830994,kaiming_uniform,mlp_3layers,750,0.0038976793584349456
184,MNIST,backprop,mlp,3layers,4096,0.005,98,52842,SGDM,0.99994767,0.9729004,37,7.5061156272888185,kaiming_normal,mlp_3layers,750,0.002357347104644459
185,MNIST,backprop,mlp,3layers,4096,0.005,98,52842,SGDM,0.99996513,0.9720459,10,7.708149585723877,kaiming_uniform,mlp_3layers,750,0.008136410220779738
186,MNIST,backprop,mlp,3layers,4096,0.005,98,52842,SGD,0.99998254,0.97387695,3,7.503260335922241,kaiming_normal,mlp_3layers,750,0.02241727630027033
187,MNIST,backprop,mlp,3layers,4096,0.005,98,52842,SGD,0.9995466,0.96899414,40,7.681632022857666,kaiming_uniform,mlp_3layers,750,0.0021760859403331645
194,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,Adam,0.9983956,0.97558594,18,7.723285102844239,kaiming_uniform,mlp_3layers,750,0.004727708388219067
195,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,Adam,0.99994767,0.97351074,41,7.49215030670166,kaiming_normal,mlp_3layers,750,0.002134175872537631
196,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,Adam,0.99994767,0.9725342,39,7.487289929389954,kaiming_uniform,mlp_3layers,750,0.002238636808568307
197,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGD,0.99949425,0.9741211,30,7.708464894294739,kaiming_uniform,mlp_3layers,750,0.002893276940585771
198,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGDM,1.0,0.97509766,23,7.67052535533905,kaiming_uniform,mlp_3layers,750,0.003740895887645603
199,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGDM,0.9996163,0.96850586,24,7.765305399894714,kaiming_normal,mlp_3layers,750,0.0035669826192396793
200,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGDM,0.9996338,0.9674072,21,7.543686056137085,kaiming_uniform,mlp_3layers,750,0.004048791229784472
201,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGD,0.99994767,0.97265625,37,7.538155384063721,kaiming_normal,mlp_3layers,750,0.0023567555268266278
202,MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGD,0.99994767,0.9719238,31,7.539992513656617,kaiming_uniform,mlp_3layers,750,0.0027965396921305974
209,MNIST,backprop,mlp,4layers,4096,0.0005,98,111594,Adam,1.0,0.9770508,49,7.487022886276245,kaiming_normal,mlp_4layers,750,0.0016822662045525968
210,MNIST,backprop,mlp,4layers,4096,0.0005,98,111594,Adam,1.0,0.9794922,33,7.786458759307862,kaiming_uniform,mlp_4layers,750,0.0024801025844710623
211,MNIST,backprop,mlp,4layers,4096,0.0005,98,111594,SGDM,1.0,0.97753906,45,7.688626055717468,kaiming_normal,mlp_4layers,750,0.0018294640007549441
212,MNIST,backprop,mlp,4layers,4096,0.0005,98,111594,SGDM,1.0,0.9782715,16,7.484356684684753,kaiming_uniform,mlp_4layers,750,0.004954023473518998
213,MNIST,backprop,mlp,4layers,4096,0.0005,98,111594,SGD,1.0,0.9769287,19,7.74136399269104,kaiming_normal,mlp_4layers,750,0.004205139938137051
214,MNIST,backprop,mlp,4layers,4096,0.0005,98,111594,SGD,1.0,0.9793701,30,8.011800379753113,kaiming_uniform,mlp_4layers,750,0.0027197734324879777
218,MNIST,backprop,mlp,4layers,4096,0.005,98,111594,Adam,1.0,0.977417,34,7.508129534721374,kaiming_normal,mlp_4layers,750,0.0024041381718113695
219,MNIST,backprop,mlp,4layers,4096,0.005,98,111594,Adam,1.0,0.9782715,43,7.717602243423462,kaiming_uniform,mlp_4layers,750,0.0019140545238596131
220,MNIST,backprop,mlp,4layers,4096,0.005,98,111594,SGDM,1.0,0.9758301,0,7.497591261863708,kaiming_normal,mlp_4layers,750,0.08400822140543669
221,MNIST,backprop,mlp,4layers,4096,0.005,98,111594,SGDM,1.0,0.977417,11,7.717865138053894,kaiming_uniform,mlp_4layers,750,0.007012069667783162
222,MNIST,backprop,mlp,4layers,4096,0.005,98,111594,SGD,1.0,0.977417,23,7.520545387268067,kaiming_normal,mlp_4layers,750,0.003506034833891581
223,MNIST,backprop,mlp,4layers,4096,0.005,98,111594,SGD,1.0,0.97839355,25,7.697704138755799,kaiming_uniform,mlp_4layers,750,0.0032395733157793314
227,MNIST,backprop,mlp,4layers,4096,0.05,98,111594,Adam,1.0,0.97595215,35,7.508994879722596,kaiming_normal,mlp_4layers,750,0.002333853571274343
228,MNIST,backprop,mlp,4layers,4096,0.05,98,111594,Adam,0.99998254,0.9786377,35,7.660848340988159,kaiming_uniform,mlp_4layers,750,0.0023402756898775303
229,MNIST,backprop,mlp,4layers,4096,0.05,98,111594,SGDM,0.99975586,0.9713135,38,7.56047290802002,kaiming_normal,mlp_4layers,750,0.002144086971857237
230,MNIST,backprop,mlp,4layers,4096,0.05,98,111594,SGDM,0.99975586,0.9708252,40,7.633536920547486,kaiming_uniform,mlp_4layers,750,0.0020384720646774465
231,MNIST,backprop,mlp,4layers,4096,0.05,98,111594,SGD,1.0,0.9758301,11,7.5352643823623655,kaiming_normal,mlp_4layers,750,0.007000685117119725
232,MNIST,backprop,mlp,4layers,4096,0.05,98,111594,SGD,0.99998254,0.97753906,2,7.777344493865967,kaiming_uniform,mlp_4layers,750,0.02805178134490914
